epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,202.99,0.2777,0.24834,0.84386,0.99646,1,0.995,0.995,0.15766,0.15623,0.79401,0.000548,0.000548,0.000548
46,207.723,0.2812,0.2515,0.85581,0.99649,1,0.995,0.98343,0.16583,0.14562,0.79977,0.000515,0.000515,0.000515
47,211.861,0.27455,0.25522,0.82907,0.99647,1,0.995,0.995,0.15091,0.1326,0.79087,0.000482,0.000482,0.000482
48,215.52,0.29233,0.24479,0.84472,0.99651,1,0.995,0.995,0.1692,0.147,0.79212,0.000449,0.000449,0.000449
49,219.054,0.26372,0.24211,0.84671,0.99653,1,0.995,0.995,0.14781,0.12489,0.791,0.000416,0.000416,0.000416
50,224.261,0.268,0.23399,0.85344,0.99648,1,0.995,0.995,0.16072,0.12908,0.79145,0.000383,0.000383,0.000383
51,241.022,0.21968,0.2361,0.78739,0.9964,1,0.995,0.995,0.15586,0.15053,0.79127,0.00035,0.00035,0.00035
52,248.718,0.18552,0.18594,0.7746,0.99627,1,0.995,0.995,0.17552,0.16642,0.79634,0.000317,0.000317,0.000317
53,256.727,0.18302,0.19637,0.77784,0.99631,1,0.995,0.995,0.15695,0.14424,0.79365,0.000284,0.000284,0.000284
54,261.434,0.19756,0.18904,0.77594,0.99642,1,0.995,0.995,0.1261,0.11585,0.78631,0.000251,0.000251,0.000251
55,266,0.18811,0.17647,0.78456,0.99644,1,0.995,0.995,0.12226,0.1219,0.78431,0.000218,0.000218,0.000218
56,271.773,0.18193,0.18369,0.77982,0.99643,1,0.995,0.995,0.13002,0.11712,0.78616,0.000185,0.000185,0.000185
57,275.319,0.17587,0.19097,0.78663,0.9964,1,0.995,0.995,0.13459,0.15516,0.78435,0.000152,0.000152,0.000152
58,278.855,0.16672,0.17706,0.77087,0.99637,1,0.995,0.995,0.1318,0.14579,0.78596,0.000119,0.000119,0.000119
59,282.732,0.16493,0.16275,0.79592,0.99645,1,0.995,0.995,0.12335,0.1352,0.78571,8.6e-05,8.6e-05,8.6e-05
60,287.718,0.15288,0.16056,0.77522,0.99644,1,0.995,0.995,0.11581,0.1309,0.78394,5.3e-05,5.3e-05,5.3e-05
